Judul;Status
IMPLEMENTASI ALGORITMA LEVENSHTEIN DISTANCE DALAM SISTEM INFORMASI PENGELOLAAN KEANGGOTAAN SABURMUSI JAWA BARAT;1
IMPLEMENTASI ALGORITMA K-MEANS CLUSTERING DALAM SISTEM INFORMASI PENGELOLAAN KEANGGOTAAN SABURMUSI JAWA BARAT;1
PENERAPAN METODE FUZZY LOGIC UNTUK MENDETEKSI KETIDAKSESUAIAN ANTARA STOK FISIK DAN DATA BARANG PADA SISTEM INFORMASI STOK DI RB RUMAH RAJUT;1
SISTEM ANALISIS KANDUNGAN PRODUK KECANTIKAN BERBASIS WEB MENGGUNAKAN NATURAL LANGUAGE PROCESSING (NLP) UNTUK EDUKASI KONSUMEN;1
PENERAPAN SISTEM PAKAR METODE CASE BASED REASONING (CBR) UNTUK DIAGNOSA PENYAKIT JANTUNG BERDASARKAN RIWAYAT GEJALA PASIEN DI KLINIK MITRA LEWO;1
IMPLEMENTASI ALGORITMA DIJKSTRA UNTUK OPTIMASI RUTE PENGANTARAN PAKET;1
Perancangan Sistem Clientarea Mobile Berbasis RESTful API dengan Arsitektur Microservices untuk Meningkatkan Efisiensi Transaksi Nasabah di PT Trijaya Pratama Futures;0
PENGEMBANGAN WEBSITE CROWFUNDING KONSERVASI LAUT STUDI KASUS ADOPT THE BLUE KOLABORASI BALI DIVING DAN PROFESSIONAL ASSOCIATION OF DIVING INSTRUCTORS (PADI);0
IMPLEMENTASI SISTEM INFORMASI PENDAFTARAN SANTRI BARU BERBASIS WEB DENGAN ALGORITMA VALIDASI REAL-TIME MENGGUNAKAN METODE WATERFALL DI TKQ AL-MUSYAWAROH;0
Perancangan Sistem Informasi Cashflow untuk Pendidikan Anak Usia Dini dengan Fitur Pelacakan Dana Masuk dan Keluar (Studi Kasus: TK ASSILMI);0
Pemanfaatan Inovasi Digital Berbasis Platform Online untuk Meningkatkan Daya Saing Toko Sembako Tradisional;0
PERANCANGAN WEBSITE TAILOR ONLINE SEBAGAI MEDIA PROMOSI DAN PEMESANAN JASA MENJAHIT (STUDI KASUS : SANDANG SAWARGI);0
PENGEMBANGAN SISTEM INFORMASI JASA POLES LAMPU DAN SALON MOBIL BERBASIS WEBSITE;0
IMPLEMENTASI ALGORITMA FIFO DALAM PERANCANGAN SISTEM INFORMASI PENJUALAN DAN LAPORAN KEUANGAN BERBASIS WEB PADA UMKM ALBUKET_01;0
IMPLEMENTASI METODE FIFO (FIRST IN FIRST OUT) DALAM SISTEM INFORMASI PENJUALAN DAN PERSEDIAAN BUKU BERBASIS WEB STUDI KASUS PT SATUNUSA;0
Sistem Penyimpanan Dokumen Internal Berbasis Website untuk Meningkatkan Efisiensi Administratif di Bakesbangpol Kota Bandung Menggunakan Metode Design Thinking;0
Penerapan Sistem Informasi Berbasis Web Menggunakan Metode Waterfall untuk Mengoptimalkan Efisiensi Reservasi dan Manajemen Jadwal Lapang Futsal (Studi Kasus: Arizka Futsal Cimahi);0
Implementasi Sistem Informasi Penjualan dan Pemesanan Produk Kopi Berbasis Web pada Nuna.Coffee;0
IMPLEMENTASI ARSITEKTUR RENDERING WEB DALAM OPTIMALISASI AKSES DATA SISTEM INFORMASI SEKOLAH MENGGUNAKAN METODE SERVER SIDE RENDERING DAN CLIENT SIDE RENDER DI RAUDHATUL ATHFAL DARUL ULUM CIAMIS;0
PERANCANGAN SISTEM INFORMASI PENDAFTARAN DAN MONITORING KESEHATAN POSYANDU REMAJA BERBASIS WEB DENGAN FRAMEWORK LARAVEL (STUDI KASUS POSYANDU NAWASENA GENIUS KELURAHAN SITUSAEUR);0
Transformasi Manajemen Inventaris dan Strategi Pemasaran Untuk Meningkatkan Efisiensi Operasional Hexa Store;0
